이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160889.png,주스티노스 마데이라 파인 미디엄 드라이 3년,Justino's Madeira Fine Medium Dry 3 Years Old,주정강화,5,2,4,틴타 네그라 몰레,레몬,사과,아몬드
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160884.jpg,우드척 홉세이션,Woodchuck Hopsation,기타,1,2,3,블렌드,레몬,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160883.jpg,우드척 엠버,Woodchuck Amber,기타,1,3,2,블렌드,사과,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160841.jpg,카스트로 상그리아,Castro Sangria,기타,3,3,2,블렌드,레몬,베리, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0159000/W0159813.jpg,마드리아 상그리아,Madria Sangria,기타,0,3,2,블렌드,레몬, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0158000/W0158889.jpg,롤라이오 레드 상그리아,Lolailo Red Sangira,기타,0,3,2,템프라니요,레몬, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0158000/W0158764.jpg,다우 레이트 바틀드 빈티지 포트,Dow's Late Bottled Vintage Port,주정강화,5,5,4,블렌디드,꽃,사과,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0158000/W0158459.jpg,테일러 레이트 바틀드 빈티지 포트,Taylor's Late Bottled Vintage Port,주정강화,6,5,4,블렌디드,베리,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0158000/W0158458.jpg,테일러 칩 드라이 포트,Taylor's Chip Dry Port,주정강화,5,1,5,블렌디드,레몬,허브, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0157000/W0157615.jpg,블랜디스 듀크 오브 클라렌스 마데이라,Blandy's Duke of Clarence Madeira,주정강화,6,5,5,틴타 네그라 몰레,말린과일,숙성,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0157000/W0157614.jpg,블랜디스 10년 세르시알,Blandy's 10 Year Old 'Sercial',주정강화,15,2,5,세르시알,레몬,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0157000/W0157364.jpg,곤잘레스 비야스 넥타르,Gonzales Byass Nectar,주정강화,7,5,5,페드로 히메네스,말린과일,사과,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0157000/W0157363.jpg,곤잘레스 비야스 크리스티나 미디윰 드라이 올로로소,Gonzales Byass Cristina Medium Dry Oloroso,주정강화,6,3,4,블렌디드,말린과일,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0157000/W0157362.jpg,곤잘레스 비야스 알폰소 올로로소,Gonzales Byass Alfonso Oloroso,주정강화,6,4,5,팔로미노,시나몬, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0157000/W0157361.jpg,곤잘레스 비야스 솔레라 1847 크림쉐리,Gonzales Byass Solera 1847 Cream Sherry,주정강화,6,5,5,블렌디드,말린과일,사과,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0157000/W0157360.jpg,곤잘레스 비야스 비냐 아베 아몬티야도,Gonzales Byass Vina AB Amontillado,주정강화,6,1,5,팔로미노,아몬드,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0155000/W0155812.jpg,돈 시몬 스파클링 상그리아,Don Simon Sparkling Sangria,기타,1,3,2,블렌드,레몬,베리,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0155000/155235.jpg,오르넬라이아 엘리고 델 오르넬라이아 그라파 리제르바,Ornellaia Eligo dell'Ornellaia Grappa Riserva,고도주,15,1,5,블렌디드,사과,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0154000/154587.jpg,카를로 펠레그리노 마르살라 수페리오레 가리발디 돌체,Carlo Pellegrino Marsala Superiore Garibaldi Dolce,주정강화,4,5,5,블렌디드,시나몬,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0154000/W0154022.jpg,그라함 엑스트라 드라이 화이트 포트,Graham's Extra Dry White Port,주정강화,5,1,4,블렌디드,꽃, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0154000/W0154006.jpg,페트리아 포트 10년,Patria 10 Years Port,주정강화,9,4,4,블렌디드,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0154000/W0154005.jpg,페트리아 토니 포트,Patria Tawny Port,주정강화,4,4,5,블렌디드,시나몬,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153889.jpg,뻰야,Penya,주정강화,4,5,4,블렌디드,레몬,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153859.jpg,투넬 압생트,Tunel Absinthe,고도주,7,4,5,블렌드,시나몬,허브, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153858.jpg,페치마이스터,Fechtmeister,고도주,6,4,3,허브,시나몬,오크통,허브
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153857.jpg,페르 케르만스 압생트,Pere Kermann's Absinthe,고도주,7,2,5,블렌드,시나몬,허브, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153385.jpg,토레스 10,Torres 10,고도주,4,1,5,템프라니요,시나몬, , 
